WARNING 2025-11-28 14:16:38,783 middleware 26256 20892 Slow request: POST /register/ took 4.63s with 11 queries
WARNING 2025-11-28 14:16:38,789 middleware 26256 20892 High query count: POST /register/ executed 11 queries in 4.63s
WARNING 2025-11-28 14:19:27,824 middleware 26256 22560 Slow request: POST /dealer/cashiers/create/ took 1.20s with 7 queries
WARNING 2025-11-28 14:20:58,592 middleware 26256 10256 Slow request: POST /login/ took 3.22s with 7 queries
WARNING 2025-11-28 15:14:02,979 middleware 8508 11208 Slow request: POST /login/ took 1.47s with 1 queries
WARNING 2025-11-28 15:14:46,971 middleware 8508 11208 Slow request: POST /login/ took 1.54s with 1 queries
WARNING 2025-11-28 15:15:18,037 middleware 8508 11208 Slow request: POST /login/ took 1.63s with 1 queries
WARNING 2025-11-28 15:16:00,726 middleware 8508 11208 Slow request: POST /login/ took 3.11s with 7 queries
WARNING 2025-11-28 15:16:45,895 middleware 8508 2584 Slow request: POST /login/ took 1.53s with 1 queries
WARNING 2025-11-28 15:17:17,927 middleware 8508 2584 Slow request: POST /login/ took 1.49s with 1 queries
WARNING 2025-11-28 15:17:34,425 middleware 8508 2584 Slow request: POST /login/ took 3.88s with 7 queries
WARNING 2025-11-28 15:19:08,214 middleware 8508 2584 Slow request: POST /login/ took 2.93s with 7 queries
WARNING 2025-11-28 15:22:08,418 middleware 8508 12820 High query count: GET /cashier/reports/daily/ executed 14 queries in 0.08s
WARNING 2025-11-28 15:29:37,985 middleware 8508 14012 High query count: GET /refresh-orders/ executed 22 queries in 0.19s
WARNING 2025-11-28 15:30:38,816 middleware 8508 4580 High query count: GET /refresh-orders/ executed 22 queries in 0.18s
WARNING 2025-11-28 15:31:39,762 middleware 8508 4580 High query count: GET /refresh-orders/ executed 22 queries in 0.13s
WARNING 2025-11-28 15:32:40,872 middleware 8508 4580 High query count: GET /refresh-orders/ executed 22 queries in 0.19s
WARNING 2025-11-28 15:33:41,840 middleware 8508 4580 High query count: GET /refresh-orders/ executed 22 queries in 0.22s
WARNING 2025-11-28 15:34:42,743 middleware 8508 4580 High query count: GET /refresh-orders/ executed 22 queries in 0.12s
WARNING 2025-11-28 15:35:43,738 middleware 8508 4580 High query count: GET /refresh-orders/ executed 22 queries in 0.12s
WARNING 2025-11-28 15:36:44,765 middleware 8508 4580 High query count: GET /refresh-orders/ executed 22 queries in 0.14s
WARNING 2025-11-28 15:37:45,756 middleware 8508 4580 High query count: GET /refresh-orders/ executed 22 queries in 0.13s
WARNING 2025-11-28 15:38:46,765 middleware 8508 4580 High query count: GET /refresh-orders/ executed 22 queries in 0.09s
WARNING 2025-11-28 15:39:47,771 middleware 8508 4580 High query count: GET /refresh-orders/ executed 22 queries in 0.14s
WARNING 2025-11-28 15:40:48,733 middleware 8508 4580 High query count: GET /refresh-orders/ executed 22 queries in 0.11s
WARNING 2025-11-28 15:41:49,714 middleware 8508 4580 High query count: GET /refresh-orders/ executed 22 queries in 0.09s
WARNING 2025-11-28 15:42:50,787 middleware 8508 4580 High query count: GET /refresh-orders/ executed 22 queries in 0.16s
WARNING 2025-11-28 15:43:51,745 middleware 8508 4580 High query count: GET /refresh-orders/ executed 22 queries in 0.12s
WARNING 2025-11-28 15:44:52,747 middleware 8508 4580 High query count: GET /refresh-orders/ executed 22 queries in 0.12s
WARNING 2025-11-28 15:45:53,977 middleware 8508 4580 High query count: GET /refresh-orders/ executed 22 queries in 0.35s
WARNING 2025-11-28 15:46:54,711 middleware 8508 4580 High query count: GET /refresh-orders/ executed 22 queries in 0.09s
WARNING 2025-11-28 15:47:56,024 middleware 8508 4580 High query count: GET /refresh-orders/ executed 22 queries in 0.40s
WARNING 2025-11-28 15:48:57,046 middleware 8508 4580 High query count: GET /refresh-orders/ executed 22 queries in 0.36s
WARNING 2025-11-28 15:49:57,961 middleware 8508 4580 High query count: GET /refresh-orders/ executed 22 queries in 0.33s
WARNING 2025-11-28 15:50:58,772 middleware 8508 4580 High query count: GET /refresh-orders/ executed 22 queries in 0.15s
WARNING 2025-11-28 15:51:58,956 middleware 8508 4580 High query count: GET /refresh-orders/ executed 22 queries in 0.33s
WARNING 2025-11-28 15:55:41,797 middleware 14536 14496 Slow request: POST /login/ took 1.77s with 1 queries
WARNING 2025-11-28 15:55:56,173 middleware 14536 14496 Slow request: POST /login/ took 2.54s with 1 queries
WARNING 2025-11-28 15:56:25,325 middleware 14536 14496 Slow request: POST /login/ took 1.51s with 1 queries
WARNING 2025-11-28 15:56:49,833 middleware 14536 14496 Slow request: POST /login/ took 1.65s with 1 queries
WARNING 2025-11-28 15:57:43,406 middleware 14536 9528 Slow request: POST /login/ took 1.33s with 1 queries
WARNING 2025-11-28 15:58:07,856 middleware 14536 9528 Slow request: POST /login/ took 3.32s with 1 queries
WARNING 2025-11-28 15:58:16,526 middleware 14536 9528 Slow request: POST /login/ took 2.90s with 7 queries
WARNING 2025-11-28 15:58:57,084 middleware 14536 14496 Slow request: POST /login/ took 1.67s with 1 queries
WARNING 2025-11-28 15:59:11,503 middleware 14536 14496 Slow request: POST /login/ took 1.66s with 1 queries
WARNING 2025-11-28 16:00:09,665 middleware 14536 14496 Slow request: POST /login/ took 1.92s with 1 queries
WARNING 2025-11-28 16:00:26,941 middleware 14536 14496 Slow request: POST /login/ took 3.19s with 7 queries
WARNING 2025-11-28 16:13:49,503 middleware 14536 13284 Slow request: POST /login/ took 3.88s with 7 queries
WARNING 2025-11-28 16:58:05,040 middleware 7756 16272 Slow request: POST /login/ took 4.05s with 7 queries
WARNING 2025-11-28 16:58:44,205 middleware 7756 16272 High query count: GET /dealer/cashiers/reports/ executed 15 queries in 0.09s
WARNING 2025-11-28 16:59:46,809 middleware 7756 16272 High query count: GET /dealer/reports/sales/ executed 11 queries in 0.15s
WARNING 2025-11-28 17:01:53,538 middleware 7756 16272 High query count: GET /dealer/reports/sales/ executed 11 queries in 0.04s
WARNING 2025-11-29 10:04:33,276 middleware 9360 3088 Slow request: POST /login/ took 2.97s with 7 queries
WARNING 2025-11-29 10:05:56,622 middleware 9360 3088 High query count: GET /dealer/cashiers/reports/ executed 12 queries in 0.05s
WARNING 2025-11-29 10:38:28,047 middleware 6184 7736 Slow request: POST /login/ took 1.81s with 1 queries
WARNING 2025-11-29 10:39:22,005 middleware 6184 11048 Slow request: POST /login/ took 1.53s with 1 queries
WARNING 2025-11-29 10:39:44,037 middleware 6184 11048 Slow request: POST /login/ took 1.51s with 1 queries
WARNING 2025-11-29 10:40:35,278 middleware 6184 11048 Slow request: POST /login/ took 1.46s with 1 queries
WARNING 2025-11-29 10:41:02,090 middleware 6184 11048 Slow request: POST /login/ took 2.80s with 7 queries
WARNING 2025-11-29 11:01:10,956 middleware 6184 1532 Slow request: POST /login/ took 2.82s with 7 queries
WARNING 2025-11-29 11:02:13,171 middleware 6184 12772 Slow request: POST /login/ took 2.94s with 7 queries
WARNING 2025-11-29 14:58:32,842 middleware 16260 14796 Slow request: POST /login/ took 2.80s with 7 queries
WARNING 2025-11-29 15:00:46,381 middleware 16260 14796 Slow request: POST /login/ took 2.81s with 7 queries
WARNING 2025-11-29 15:01:21,682 middleware 16260 14796 Slow request: POST /login/ took 2.91s with 7 queries
WARNING 2025-11-29 15:02:24,486 middleware 16260 14796 Slow request: POST /login/ took 2.93s with 7 queries
WARNING 2025-11-29 15:03:03,357 middleware 16260 14796 Slow request: POST /login/ took 3.04s with 7 queries
WARNING 2025-11-29 15:07:41,086 middleware 16260 14796 Slow request: POST /login/ took 2.72s with 7 queries
WARNING 2025-11-29 22:34:34,397 middleware 16260 5912 Slow request: POST /login/ took 2.03s with 1 queries
WARNING 2025-11-29 22:34:42,715 middleware 16260 5912 Slow request: POST /login/ took 3.45s with 7 queries
WARNING 2025-11-30 18:48:31,119 middleware 7496 15960 Slow request: POST /login/ took 4.02s with 7 queries
WARNING 2025-11-30 18:54:15,304 middleware 7496 15960 Slow request: POST /login/ took 4.39s with 7 queries
WARNING 2025-11-30 18:54:19,166 middleware 7496 15960 High query count: GET /cashier/reports/monthly/ executed 48 queries in 0.18s
WARNING 2025-11-30 18:55:16,600 middleware 7496 15960 High query count: GET /cashier/reports/monthly/ executed 48 queries in 0.24s
WARNING 2025-11-30 18:55:20,613 middleware 7496 15960 High query count: GET /cashier/reports/daily/ executed 12 queries in 0.11s
WARNING 2025-11-30 18:55:22,936 middleware 7496 15960 High query count: GET /cashier/reports/monthly/ executed 48 queries in 0.14s
WARNING 2025-11-30 18:55:50,380 middleware 7496 15960 Slow request: POST /login/ took 4.53s with 7 queries
